,band,telescope,obsmjd,mag,mag_err,alert
192,ZTF_r,P48,58633.35364580001,18.655468356552817,0.018734586422332892,False
193,ZTF_r,P48,58634.3540625,18.65358916911678,0.017784837247945752,False
194,ZTF_r,P48,58635.2856944,18.57490005592045,0.013941650644028684,False
195,ZTF_r,P48,58635.28660880001,18.525725974518878,0.01342474376843646,False
196,ZTF_r,P48,58635.358125,18.57890099748932,0.016575633625702232,False
197,ZTF_r,P48,58635.3790972,18.582539965376956,0.01370134502167137,False
198,ZTF_g,P48,58635.4200694,18.61102320763774,0.014062790556730051,False
199,ZTF_g,P48,58635.4209838,18.588751424973452,0.013036601577556177,False
200,ZTF_g,P48,58635.4428125,18.610560263592028,0.015231619262984747,False
201,ZTF_g,P48,58635.475162,18.573536248573394,0.028121869875208108,False
202,ZTF_i,P48,58636.29833330001,18.479322220361396,0.026216920013832343,False
203,ZTF_g,P48,58637.2663079,18.561094285021692,0.014888677545668054,False
204,ZTF_r,P48,58637.315706,18.5083226403303,0.016227634716223887,False
205,ZTF_r,P48,58637.33469909999,18.519930038285185,0.015017709426065581,False
206,ZTF_g,P48,58637.4413426,18.518317333372575,0.014513137089335038,False
207,ZTF_r,P48,58638.26817130001,18.490443662750952,0.014613945507451062,False
208,ZTF_r,P48,58638.288287,18.46503985689893,0.01471973134981402,False
209,ZTF_r,P48,58638.2892014,18.475871960095944,0.015445755043141675,False
210,ZTF_r,P48,58638.310625,18.529530590206164,0.015378538879311312,False
211,ZTF_g,P48,58638.3517014,18.528672390817935,0.01478338602229422,False
212,ZTF_g,P48,58638.3525926,18.586230696869745,0.014862314792763712,False
213,ZTF_g,P48,58638.3578819,18.53810477959456,0.014260797286918082,False
214,ZTF_g,P48,58639.2565046,18.47308832173988,0.014625106501330474,False
215,ZTF_r,P48,58639.2975,18.451832162010934,0.017204908588099106,False
216,ZTF_r,P48,58639.3164583,18.426781416743808,0.019383590075483032,False
217,ZTF_g,P48,58639.4313542,18.49599524225228,0.012840361074954005,False
218,ZTF_g,P48,58639.4554977,18.486697331248642,0.013147624227564029,False
219,ZTF_r,P48,58640.2553935,18.394817056834572,0.015035782819419174,False
220,ZTF_r,P48,58640.27988430001,18.40329801703924,0.013683833757544778,False
221,ZTF_i,P48,58640.29802080001,18.356954242144386,0.023087072910038597,False
222,ZTF_g,P48,58640.33502309999,18.46172535015065,0.011758101946985957,False
223,ZTF_g,P48,58640.3577546,18.4713181749209,0.014094492093099278,False
224,ZTF_g,P48,58641.1954977,18.44914495807816,0.019972737744293204,False
225,ZTF_g,P48,58641.21123840001,18.533692290789393,0.02060199036639212,False
226,ZTF_g,P48,58641.2121528,18.46966360087728,0.018100985318658475,False
227,ZTF_g,P48,58641.2345023,18.36537337085549,0.030089290307889306,False
228,ZTF_r,P48,58641.29420140001,18.40657809663157,0.012635975461600668,False
229,ZTF_r,P48,58641.33263890001,18.43437081895029,0.012727121892638905,False
230,ZTF_r,P48,58641.3335995,18.394593776579867,0.011614615981320528,False
231,ZTF_r,P48,58642.24497690001,18.359950807943207,0.01343540757022323,False
232,ZTF_r,P48,58642.2711111,18.41733570982901,0.013532577046327059,False
233,ZTF_r,P48,58642.2783102,18.38930867241017,0.013146111968827937,False
234,ZTF_g,P48,58642.3871181,18.4028135562432,0.011072037170837604,False
235,ZTF_g,P48,58642.4169444,18.445888928339734,0.011052313309243368,False
236,ZTF_r,P48,58643.25576390001,18.345924397256685,0.01616717988907369,False
237,ZTF_r,P48,58643.2781019,18.341578846089455,0.018075017742275785,False
238,ZTF_r,P48,58643.29480319999,18.34860688568932,0.01963571529558257,False
239,ZTF_g,P48,58643.333287,18.440876748291096,0.01567521934743922,False
240,ZTF_g,P48,58643.353287,18.463063481099887,0.014878684796194528,False
241,ZTF_g,P48,58643.4266782,18.48089479790322,0.018215863400783117,False
242,ZTF_g,P48,58644.2139931,18.437070898109802,0.01875062396946491,False
243,ZTF_i,P48,58644.2364699,18.31786513401048,0.02894960313835612,False
244,ZTF_r,P48,58644.2768056,18.305797888968296,0.015992842971605508,False
245,ZTF_r,P48,58644.2964352,18.364617600326888,0.020781107548149876,False
246,ZTF_r,P48,58644.29739580001,18.272051359713878,0.016338614922851147,False
247,ZTF_r,P48,58644.3137153,18.326117025159977,0.01603450440757482,False
248,ZTF_g,P48,58644.3404167,18.385112828248815,0.014320281606593897,False
249,ZTF_g,P48,58644.341331,18.36997161495765,0.014749927152255144,False
250,ZTF_g,P48,58645.24842590001,18.36694900947026,0.02134102758648686,False
251,ZTF_r,P48,58645.3146065,18.316398800779567,0.0182325124816546,False
252,ZTF_g,P48,58645.407963,18.340522363755422,0.012871546887519649,False
253,ZTF_r,P48,58646.246076400006,18.38298034126272,0.03404284581506986,False
254,ZTF_r,P48,58646.2513079,18.299448411717783,0.019064361401415226,False
255,ZTF_r,P48,58646.276713,18.33110692477309,0.02386198287602061,False
256,ZTF_r,P48,58646.3086574,18.26471079152326,0.03675381843621176,False
257,ZTF_g,P48,58646.3185301,18.36840035314126,0.025693810080647046,False
258,ZTF_g,P48,58647.2163773,18.369835171585144,0.028078450068359587,False
259,ZTF_r,P48,58647.2551273,18.28541393530376,0.021552589143946768,False
260,ZTF_r,P48,58647.2741319,18.277845951150123,0.023971784875648643,False
261,ZTF_r,P48,58647.2750347,18.25614171447839,0.020214491067662425,False
262,ZTF_g,P48,58647.3385995,18.340245367290187,0.02359387626206004,False
263,ZTF_g,P48,58647.3695602,18.397728492096764,0.026296382957279547,False
264,ZTF_g,P48,58647.37048609999,18.33929177502488,0.02235974799385109,False
265,ZTF_i,P48,58648.3070949,18.232633349464592,0.03046463084502164,False
266,ZTF_g,P48,58650.2134028,18.33470998761305,0.038647083829586315,False
267,ZTF_r,P48,58650.29376159999,18.195896425814023,0.0288399066714048,False
268,ZTF_r,P48,58651.35144680001,18.28932033814468,0.0387903450499468,False
269,ZTF_i,P48,58652.2564236,18.19475321696513,0.035521975662228464,False
270,ZTF_r,P48,58653.22528940001,18.187649519393045,0.022461512517529928,False
271,ZTF_r,P48,58654.2123264,18.212572396423035,0.0136271515822827,False
272,ZTF_g,P48,58654.2754745,18.32774666272392,0.02903907708478732,False
273,ZTF_g,P48,58654.2979167,18.310156378023734,0.03311502940884417,False
274,ZTF_r,P48,58654.3430324,18.246641681879407,0.022895830339987527,False
275,ZTF_r,P48,58654.35063659999,18.2901875379,0.030473215408653463,False
276,ZTF_r,P48,58654.35854169999,18.279313088609374,0.027065086693101224,False
277,ZTF_r,P48,58655.1927546,18.246012866204268,0.016545470251845485,False
278,ZTF_r,P48,58655.2106597,18.29456795767437,0.019987381919864083,False
279,ZTF_g,P48,58655.27278940001,18.363080428922718,0.035992756644142726,False
280,ZTF_r,P48,58655.31682869999,18.351618900733065,0.0345048158141012,False
281,ZTF_g,P48,58657.21554400001,18.278273826774388,0.011764553897497131,False
282,ZTF_g,P48,58657.2350694,18.30608933346048,0.013614577832283571,False
283,ZTF_g,P48,58657.2373727,18.304353367314796,0.013345725999939951,False
284,ZTF_r,P48,58657.3428588,18.23854608148254,0.016259727988281538,False
285,ZTF_r,P48,58657.3437731,18.158085474458183,0.01809625119455157,False
286,ZTF_r,P48,58657.3823495,18.23144023729959,0.02007303708801339,False
287,ZTF_g,P48,58658.21689809999,18.286228114819085,0.012704582409767276,False
288,ZTF_i,P48,58659.1799653,18.164270559245328,0.025358650168444456,False
289,ZTF_g,P48,58660.17302080001,18.25827098607037,0.025392404393460827,False
290,ZTF_g,P48,58660.20342590001,18.312925839512392,0.011773182930090572,False
291,ZTF_r,P48,58660.2474884,18.133457248554773,0.010762059060629213,False
292,ZTF_r,P48,58661.3060995,18.167060275843564,0.012543717705920221,False
293,ZTF_r,P48,58661.3159028,18.208690328822552,0.01234656743250347,False
294,ZTF_i,P48,58663.1844676,18.081995588528358,0.022806793443239,False
295,ZTF_r,P48,58663.30251159999,18.16386888968684,0.012930957177474552,False
296,ZTF_r,P48,58663.3039005,18.103818872161032,0.010927762211843424,False
297,ZTF_r,P48,58663.31723380001,18.14412107876626,0.013092886482113042,False
298,ZTF_g,P48,58665.2132523,18.286123073376093,0.011722667781939434,False
299,ZTF_g,P48,58666.21280090001,18.241366821967095,0.011664929210030064,False
300,ZTF_g,P48,58666.2137153,18.278580937692773,0.010769820006941662,False
301,ZTF_g,P48,58666.2345949,18.307927079612714,0.012298128504133298,False
302,ZTF_r,P48,58666.252963,18.16438748652352,0.011782762395135123,False
303,ZTF_r,P48,58666.2538542,18.18952330875284,0.012280204615780409,False
304,ZTF_i,P48,58667.18030090001,18.07839485502675,0.02169427833817375,False
305,ZTF_g,P48,58667.3191319,18.279972741086095,0.011711436236002608,False
306,ZTF_r,P48,58668.3209722,18.141132698421725,0.012282877502537272,False
307,ZTF_r,P48,58669.3165625,18.128770510872556,0.011668041950491231,False
308,ZTF_r,P48,58669.3280903,18.137150614928093,0.010355619230446984,False
309,ZTF_g,P48,58670.282338,18.303042940959095,0.012095070145800428,False
310,ZTF_r,P48,58670.3125926,18.173962681040088,0.012131798282849665,False
311,ZTF_i,P48,58671.18214119999,17.978174035079263,0.018858538825826568,False
312,ZTF_r,P48,58671.1915509,18.06946008498469,0.013831833819219664,False
313,ZTF_g,P48,58671.2839005,18.27891016776,0.01262366307423072,False
314,ZTF_r,P48,58672.2065278,18.14045324385973,0.013087777400398012,False
315,ZTF_r,P48,58672.2290625,18.16703871518184,0.013115338428596388,False
316,ZTF_g,P48,58672.3012847,18.278513674554514,0.009962894749020046,False
317,ZTF_g,P48,58672.3310069,18.300808706672484,0.011023528315355044,False
318,ZTF_g,P48,58673.3099306,18.307160254030496,0.013544195178840895,False
319,ZTF_g,P48,58673.31939809999,18.278586364735435,0.01220897341531393,False
320,ZTF_g,P48,58674.1918519,18.245869311422073,0.017691034098577047,False
321,ZTF_r,P48,58674.2112037,18.171398161835267,0.021483596816079455,False
322,ZTF_r,P48,58674.2284606,18.163606937672714,0.017805255440992273,False
323,ZTF_g,P48,58674.3544676,18.269164923715294,0.012896591688749131,False
324,ZTF_i,P48,58675.2184954,17.977167366729397,0.01917008470839247,False
325,ZTF_r,P48,58675.23285880001,18.098177899151434,0.016390515513267038,False
326,ZTF_r,P48,58675.2452778,18.156228152321674,0.017924615252769657,False
327,ZTF_g,P48,58675.297164400006,18.230475187131848,0.019853043781032986,False
328,ZTF_g,P48,58675.3100579,18.294886095570355,0.020235278737242398,False
329,ZTF_g,P48,58675.3543056,18.300540685226444,0.015967987900752198,False
330,ZTF_r,P48,58677.236169,18.221557857684,0.02512788279772157,False
331,ZTF_r,P48,58678.21329859999,18.144491434978775,0.020457749904861447,False
332,ZTF_r,P48,58678.23017359999,18.162628530605915,0.02294498475370188,False
333,ZTF_g,P48,58678.2869676,18.36034210677203,0.033138530921216394,False
334,ZTF_i,P48,58679.2546528,18.012655135827657,0.019830231234968743,False
335,ZTF_g,P48,58681.1856019,18.225376470027637,0.03170421916941025,False
336,ZTF_g,P48,58681.18653940001,18.320934400625426,0.034712872808715614,False
337,ZTF_g,P48,58681.1906944,18.29296098146211,0.036902055612259885,False
338,ZTF_g,P48,58681.2098727,18.268318745787255,0.03457136680945056,False
339,ZTF_r,P48,58681.2686806,18.112006866253274,0.026877054871841,False
340,ZTF_r,P48,58681.2790278,18.1272178812652,0.02642209915184057,False
341,ZTF_g,P48,58682.1877662,18.288374914246532,0.020758753818658698,False
342,ZTF_g,P48,58682.1926852,18.29859101001378,0.02463981946255804,False
343,ZTF_g,P48,58682.2109954,18.307206992759408,0.02420170189617203,False
344,ZTF_r,P48,58682.2822917,18.100356707775237,0.01815221474703226,False
345,ZTF_r,P48,58682.28929400001,18.238780338331868,0.02499073266370254,False
346,ZTF_r,P48,58684.17289349999,18.100696747817302,0.01275715843558101,False
