index,filter,magpsf,sigmamagpsf,instrument,mjd
370,i,18.14,0.11,P48+ZTF,58747.1124999998
371,g,18.67,0.09,P48+ZTF,58747.1305
372,g,18.63,0.09,P48+ZTF,58750.1359000001
373,i,18.21,0.08,P48+ZTF,58751.1200000001
374,g,18.76,0.09,P48+ZTF,58758.1288999999
375,r,18.57,0.09,P48+ZTF,58761.1200000001
376,g,18.63,0.15,P48+ZTF,58764.1998999999
377,g,18.7,0.13,P48+ZTF,58771.1101000002
378,r,18.62,0.08,P48+ZTF,58775.1025999999
379,g,18.77,0.09,P48+ZTF,58775.1121
380,g,18.8,0.1,P48+ZTF,58778.1220999998
381,r,18.63,0.13,P48+ZTF,58781.0906000002
382,g,18.85,0.14,P48+ZTF,58781.1121
383,g,18.77,0.11,P48+ZTF,58785.1150000002
384,g,18.89,0.21,P48+ZTF,58789.1253
385,r,18.59,0.11,P48+ZTF,58792.1099999999
386,r,18.58,0.12,P48+ZTF,58795.0776999998
387,g,18.75,0.15,P48+ZTF,58795.1096999999
388,g,18.93,0.35,P48+ZTF,58851.5496
389,g,18.85,0.21,P48+ZTF,58854.5586000001
390,r,18.71,0.09,P48+ZTF,58873.5350000002
391,g,18.89,0.12,P48+ZTF,58876.5362
392,g,18.88,0.12,P48+ZTF,58876.5362
393,r,18.71,0.1,P48+ZTF,58876.5745000001
394,g,18.94,0.19,P48+ZTF,58879.5046000001
395,r,18.71,0.2,P48+ZTF,58879.5408999999
396,g,18.9,0.22,P48+ZTF,58885.4667000002
397,r,18.7,0.12,P48+ZTF,58885.5435000002
398,r,18.84,0.22,P48+ZTF,58888.5101999999
399,g,18.91,0.17,P48+ZTF,58891.4745999998
400,r,18.61,0.08,P48+ZTF,58894.5408000001
401,g,18.82,0.13,P48+ZTF,58894.5592999998
402,r,18.62,0.08,P48+ZTF,58898.5236999998
403,g,18.9,0.11,P48+ZTF,58898.5616000001
404,r,18.69,0.1,P48+ZTF,58904.5241999999
405,r,18.69,0.1,P48+ZTF,58904.5241999999
406,g,18.88,0.13,P48+ZTF,58904.5525000002
407,g,18.88,0.13,P48+ZTF,58904.5525000002
408,r,18.67,0.08,P48+ZTF,58908.5137999998
409,r,18.67,0.08,P48+ZTF,58908.5137999998
410,r,18.78,0.1,P48+ZTF,58911.5036999998
411,r,18.78,0.1,P48+ZTF,58911.5036999998
